,predictions,file_names
0,disgust,03-01-05-01-01-01-11.wav
1,disgust,03-01-07-01-02-01-13.wav
2,fearful,03-01-03-02-01-01-16.wav
3,disgust,03-01-07-01-02-02-16.wav
4,fearful,03-01-03-01-01-02-16.wav
5,surprised,03-01-08-01-02-01-03.wav
6,neutral,03-01-01-01-02-01-11.wav
7,disgust,03-01-05-01-02-02-11.wav
8,disgust,03-01-05-01-01-02-05.wav
9,angry,03-01-01-01-01-02-05.wav
10,happy,03-01-07-02-01-02-12.wav
11,surprised,03-01-03-01-02-02-18.wav
12,disgust,03-01-07-02-02-02-03.wav
13,surprised,03-01-08-02-02-02-24.wav
14,fearful,03-01-06-02-01-01-11.wav
15,happy,03-01-03-01-01-02-22.wav
16,disgust,03-01-07-02-02-02-11.wav
17,happy,03-01-03-01-02-01-03.wav
18,happy,03-01-01-01-01-02-23.wav
19,angry,03-01-03-02-01-02-03.wav
20,fearful,03-01-05-01-01-01-07.wav
21,angry,03-01-01-01-01-02-17.wav
22,disgust,03-01-07-02-01-01-23.wav
23,disgust,03-01-07-01-01-02-04.wav
24,surprised,03-01-08-02-02-02-06.wav
25,angry,03-01-05-02-01-01-18.wav
26,calm,03-01-01-01-02-01-13.wav
27,neutral,03-01-01-01-01-01-23.wav
28,disgust,03-01-07-02-02-02-10.wav
29,angry,03-01-05-02-02-02-02.wav
30,calm,03-01-02-02-02-02-09.wav
31,angry,03-01-07-02-02-02-18.wav
32,calm,03-01-02-02-02-02-18.wav
33,surprised,03-01-01-01-01-01-07.wav
34,fearful,03-01-06-01-02-02-21.wav
35,calm,03-01-02-01-01-01-08.wav
36,calm,03-01-02-01-02-01-06.wav
37,calm,03-01-02-01-01-02-12.wav
38,disgust,03-01-06-02-02-01-15.wav
39,fearful,03-01-06-02-01-01-14.wav
40,surprised,03-01-08-01-02-02-19.wav
41,calm,03-01-03-01-01-01-09.wav
42,disgust,03-01-03-02-02-01-01.wav
43,calm,03-01-01-01-02-02-18.wav
44,disgust,03-01-07-02-01-02-24.wav
45,surprised,03-01-08-02-02-02-19.wav
46,surprised,03-01-03-01-01-02-14.wav
47,happy,03-01-03-01-02-02-14.wav
48,calm,03-01-02-01-01-01-14.wav
49,happy,03-01-03-02-01-02-05.wav
50,disgust,03-01-05-01-02-02-06.wav
51,calm,03-01-02-01-02-02-15.wav
52,disgust,03-01-05-01-02-02-15.wav
53,happy,03-01-06-01-01-01-03.wav
54,fearful,03-01-08-02-02-01-20.wav
55,calm,03-01-02-01-02-02-04.wav
56,angry,03-01-05-02-01-02-09.wav
57,happy,03-01-03-01-01-02-03.wav
58,angry,03-01-05-02-01-02-19.wav
59,happy,03-01-03-01-01-02-24.wav
60,fearful,03-01-06-01-01-01-14.wav
61,neutral,03-01-01-01-01-02-08.wav
62,angry,03-01-05-02-02-01-14.wav
63,angry,03-01-03-02-02-02-21.wav
64,disgust,03-01-05-01-02-02-07.wav
